date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2020-12-30,118.67632,128.8,122.647554,133.11,112.991282,122.63,119.82807,130.05,1727676.641,1727676.641
2020-12-29,119.634576,129.84,120.61126,130.9,110.568,120.0,118.67632,128.8,1732248.38409,1732248.38409
2020-12-28,117.782562,127.83,126.609574,137.41,116.437318,126.37,119.625362,129.83,2349842.95502,2349842.95502
2020-12-27,119.422654,129.61,128.507658,139.47,112.300232,121.88,117.828632,127.88,3743173.13001,3743173.13001
2020-12-26,117.699636,127.74,124.564066,135.19,115.119716,124.94,119.422654,129.61,3461075.6473,3461075.6473
2020-12-25,102.395182,111.13,118.519682,128.63,99.677052,108.18,117.736492,127.78,3117913.94898,3117913.94898
2020-12-24,94.406644,102.46,103.491648,112.32,90.80397,98.55,102.395182,111.13,2696980.51697,2696980.51697
2020-12-23,105.325234,114.31,108.071006,117.29,87.744922,95.23,94.39743,102.45,3923591.07434,3923591.07434
2020-12-22,96.267872,104.48,105.620082,114.63,90.61969,98.35,105.334448,114.32,3210319.32528,3210319.32528
2020-12-21,105.583226,114.59,109.32411,118.65,92.425634,100.31,96.24023,104.45,2599527.81365,2599527.81365
2020-12-20,110.42979,119.85,113.525694,123.21,101.132864,109.76,105.574012,114.58,2671305.32839,2671305.32839
2020-12-19,100.745876,109.34,114.474736,124.24,97.032634,105.31,110.42979,119.85,2753360.19971,2753360.19971
2020-12-18,93.052186,100.99,104.007632,112.88,91.439736,99.24,100.745876,109.34,3141671.53609,3141671.53609
2020-12-17,85.634916,92.94,101.16972,109.8,82.926,90.0,93.070614,101.01,4161454.89253,4161454.89253
2020-12-16,74.965104,81.36,86.095616,93.44,72.154834,78.31,85.634916,92.94,2349124.19924,2349124.19924
2020-12-15,75.904932,82.38,78.254502,84.93,74.071346,80.39,74.928248,81.32,1348469.20889,1348469.20889
2020-12-14,75.803578,82.27,76.457772,82.98,72.891954,79.11,75.87729,82.35,1102081.73026,1102081.73026
2020-12-13,70.616096,76.64,77.747732,84.38,69.584128,75.52,75.812792,82.28,1278882.98328,1278882.98328
2020-12-12,66.52508,72.2,71.482212,77.58,66.313158,71.97,70.643738,76.67,872394.12884,872394.12884
2020-12-11,68.893078,74.77,69.187926,75.09,64.378218,69.87,66.52508,72.2,1484095.85234,1484095.85234
2020-12-10,71.325574,77.41,71.555924,77.66,66.810714,72.51,68.82858,74.7,900570.5582,900570.5582
2020-12-09,70.71745,76.75,71.998196,78.14,66.460582,72.13,71.325574,77.41,1378314.59353,1378314.59353
2020-12-08,76.817118,83.37,78.162362,84.83,69.482774,75.41,70.726664,76.76,1230953.86975,1230953.86975
2020-12-07,76.973756,83.54,80.042018,86.87,75.306022,81.73,76.817118,83.37,1145446.47407,1145446.47407
2020-12-06,76.577554,83.11,78.494066,85.19,73.997634,80.31,76.98297,83.55,921046.75996,921046.75996
2020-12-05,73.269728,79.52,77.655592,84.28,72.431254,78.61,76.605196,83.14,1278363.44579,1278363.44579
2020-12-04,82.013814,89.01,82.778576,89.84,71.68492,77.8,73.269728,79.52,1701697.85317,1701697.85317
2020-12-03,81.903246,88.89,84.3081,91.5,78.742844,85.46,82.0046,89.0,1690248.45885,1690248.45885
2020-12-02,78.383498,85.07,83.506482,90.63,76.116854,82.61,81.91246,88.9,2135078.47937,2135078.47937
2020-12-01,80.769924,87.66,85.699414,93.01,73.306584,79.56,78.392712,85.08,3600461.26285,3600461.26285
2020-11-30,72.689246,78.89,81.507044,88.46,70.606882,76.63,80.76071,87.65,2118965.66781,2118965.66781
2020-11-29,66.967352,72.68,74.697898,81.07,65.889314,71.51,72.707674,78.91,1514540.21111,1514540.21111
2020-11-28,63.742452,69.18,69.077358,74.97,62.894764,68.26,66.98578,72.7,1483068.35897,1483068.35897
2020-11-27,65.410186,70.99,67.7229,73.5,60.16742,65.3,63.71481,69.15,1707521.50402,1707521.50402
2020-11-26,75.32445,81.75,76.743406,83.29,59.38423,64.45,65.4194,71.0,3435959.29518,3435959.29518
2020-11-25,82.253378,89.27,83.626264,90.76,71.91527,78.05,75.32445,81.75,1631940.24087,1631940.24087
